lat,long
"N: 34.6, S: 33.9, E: -119.2, W: -120.8",
"N: 34.4569, S: 34.4569, E: -120.5585, W: -120.5585",
"N: 34.375, S: 34.375, E: -120.5221, W: -120.5221",
"N: 34.275, S: 34.275, E: -120.4738, W: -120.4738",
"N: 34.1935, S: 34.1935, E: -120.43, W: -120.43",
"N: 34.11714, S: 34.11714, E: -120.39266, W: -120.39266",
"N: 34.2223, S: 34.2223, E: -120.3334, W: -120.3334",
"N: 34.3215, S: 34.3215, E: -120.2768, W: -120.2768",
"N: 34.4065, S: 34.4065, E: -120.2308, W: -120.2308",
"N: 34.4632, S: 34.4632, E: -120.1216, W: -120.1216",
"N: 34.0583, S: 34.0583, E: -120.10035, W: -120.10035",
"N: 34.1507, S: 34.1507, E: -120.0511, W: -120.0511",
"N: 34.2255, S: 34.2255, E: -120.025, W: -120.025",
"N: 34.3121, S: 34.3121, E: -119.9913, W: -119.9913",
"N: 34.4097, S: 34.4097, E: -119.951, W: -119.951",
"N: 34.2491, S: 34.2491, E: -119.9069, W: -119.9069",
"N: 34.0665, S: 34.0665, E: -119.79, W: -119.79",
"N: 34.1515, S: 34.1515, E: -119.723, W: -119.723",
"N: 34.2255, S: 34.2255, E: -119.6636, W: -119.6636",
"N: 34.301, S: 34.301, E: -119.6042, W: -119.6042",
"N: 34.3766, S: 34.3766, E: -119.5448, W: -119.5448",
"N: 34.0256, S: 34.0256, E: -119.4394, W: -119.4394",
"N: 34.087, S: 34.087, E: -119.3917, W: -119.3917",
"N: 34.1258, S: 34.1258, E: -119.3583, W: -119.3583",
"N: 34.1783, S: 34.1783, E: -119.3205, W: -119.3205",
"N: 34.2255, S: 34.2255, E: -119.2803, W: -119.2803",
"N: 34.39017, S: 34.39017, E: -119.84067, W: -119.84067",
"N: 34.3435, S: 34.3435, E: -119.86267, W: -119.86267",
"N: 34.29683, S: 34.29683, E: -119.8845, W: -119.8845",
"N: 34.25017, S: 34.25017, E: -119.90633, W: -119.90633",
"N: 34.2035, S: 34.2035, E: -119.92833, W: -119.92833",
"N: 34.15683, S: 34.15683, E: -119.95017, W: -119.95017",
"N: 34.08333, S: 34.08333, E: -120.03333, W: -120.03333",
